0,0.66667,0.2,0.66667,NaN,0.36842,0.33333
0.66667,0.18182,0.2,0.88889,1,0.90909,0.5
0.44444,1,0.2,1,1,0.83333,0.4
0.75,0.41667,1,0.5,1,1,1
0.875,0.53333,1,0.875,0.63636,0.88889,0.5
0.5,0.57143,0.8,0.66667,0.875,0.875,NaN
0,1,0.66667,1,0.875,NaN,0.42857
0,1,1,0.8,0.83333,NaN,1
NaN,0.44444,0,0.88889,0.88889,NaN,1
NaN,0,NaN,0,0,0.33333,0.77778
0,0.33333,0,1,0.1,0.44444,1
0,0.16667,0,0.75,0,0.44444,0.875
0,0.30435,0.11111,0.33333,1,1,0.77778
NaN,0.72727,0.72727,1,0.53333,1,0.875
0,0.8,0,0.5,0.7,1,1
NaN,0.63636,0.66667,0.71429,0.66667,0.28571,0.66667
1,1,0.42857,0.8,0.875,0.75,0.8
0,0.85714,1,0.61538,1,0.75,0.66667
1,0.5,0.77778,0.63636,0.625,0.33333,1
0.46667,0.875,0.53846,0.63636,0.83333,0.5,1
0.46667,0.42857,0.63636,0.63636,0.875,0.66667,1
0.31579,0.88889,0,0.4,0.83333,0.35294,0.88889
0.33333,0.88889,NaN,0.57143,1,0.44444,0.77778
0.5,0.88889,0.5,0.57143,1,1,0.88889
0.42105,0.71429,0.2,0.5,0.66667,0.6,0.57143
0.42105,0,0.8,1,0.88889,1,0.75
0.4,0.45455,0.875,0.66667,0.8,1,NaN
0,0.63636,0.7,0.88889,0.41667,0.6,0.5
0,1,0.875,0.8,0.61538,0.88889,0.53333
0,0.5,1,0.8,0.66667,0.71429,0.33333
