0,0.25,0.125,0.25,0,0.7,0.25
0.25,0.25,0.125,1,0.375,1,0.875
0.5,0.25,0.125,0.875,0.625,1,0.25
0.75,0.625,0.75,0.625,0.875,1,0.28571
0.875,1,1,0.875,0.875,0.88889,0.14286
0.625,1,0.5,0.75,0.875,0.77778,0
NaN,0.75,0.22222,0.875,0.875,0,0.375
NaN,0.75,0.77778,1,0.625,0,0.625
NaN,1,0,1,1,0,1
NaN,0,0,0,0,0.625,1
NaN,0.75,0,0.5,0.125,1,1
NaN,0.375,0,0.375,0,1,1
NaN,0.875,0.125,0.25,0.625,0.625,0.875
NaN,1,1,0.25,1,1,0.875
NaN,1,0,0.25,0.875,0.875,0.75
0,0.875,0.28571,0.625,0.5,0.44444,0.25
0.5,1,0.42857,1,0.875,0.66667,0.5
0,0.75,0.28571,1,0.75,0.33333,0.25
0.875,1,1,0.875,0.625,0.25,0.625
0.875,1,1,0.875,0.625,0.375,0.75
0.875,0.42857,1,0.875,0.875,0.75,0.875
0.75,1,0,0.75,0.625,0.66667,1
0.75,1,0,1,1,0.88889,0.875
0.875,1,0.125,1,0.75,0.77778,1
1,0.625,0.125,0.25,1,0.375,1
1,0,1,1,1,1,0.75
0.75,0.625,0.875,0.25,1,0.375,0
0,0.875,0.875,1,0.625,0.75,0.625
0,0.25,0.875,1,1,1,1
0,0.25,0.625,1,1,0.625,0.25
